(9.058623968661223,-15.431530437538104)
(-46.61191294986269,-19.151316102930934)
(-19.360945764392692,-24.17746994435976)
(-31.294786885690513,13.140498541249956)
(38.6650910199321,-28.779672013101692)
(-8.078801568682637,-19.087614008544048)
(16.45825820156327,2.7404717275488344)
(-43.98570656941172,18.655244615842836)
(-0.09518170864935804,7.771420019885032)
(2.7201971299672736,-20.18576415031025)
(25.76942730300441,-23.074664467723306)
(2.623118023754131,10.138553755864814)
(-9.611694245073702,-0.8508176964935825)
(4.593849261437243,-35.85785918353939)
(-1.4064814281137048,6.141565768745307)
(0.0,3.566485850531942)
(-9.79111228188766,-34.47719385152656)
(25.810208570282438,-4.180149251842488)
(-25.140179323602077,3.266478589554273)
(-15.68355438828608,3.3111132683003213)
(28.941039446697932,-2.4055827876855482)
(0.3551277958140199,-1.48628686448646)
(-6.396734669394324,-19.526505503528732)
(-67.92630762141835,-9.036952691606022)
(-24.017803230920933,37.515329525139045)
(18.971435501300135,0.43379445314700227)
(-2.038867959401032,-14.819466266151714)
(23.10264745111862,-47.52612296361719)
(-14.723259553036158,-37.49011165835323)
(-32.12552601144986,0.6127531254188593)
(6.436836998242483,-7.757662761252441)
(-18.26377223767986,-15.725663601535159)
(-29.899630071842836,3.2055130211746694)
(-0.8128621053046514,-12.057433713076387)
(40.33692756888639,1.0739859379601218)
(-18.303855859634133,-23.64003640538324)
(14.341938453527748,-4.426209676372924)
(-67.53150051666073,-17.592567592541638)
(-17.908265908615235,18.186783615204334)
(-11.410940780296379,-6.373371867246292)
(15.840336425430927,12.093794784455914)
(-11.892248738593294,15.607190833559368)
(5.900697837887588,-52.62489586321048)
(-50.9484616733794,-13.385459373753548)
(-21.910146736727754,-34.08929042314759)
(-43.48437871392844,-18.61215197218305)
(-9.673119410463869,-50.960314873409786)
(3.217696504602653,-21.075395413171563)
(-49.65325916646334,0.7967365349719513)
(-44.47473482424733,-0.4282767482083687)
(-23.26133867302884,31.878418014246844)
(-23.857982811064836,5.863888187341265)
(1.7422303844721831,2.5189151440173103)
(-56.20955095085335,-2.8509511544377046)
(-1.298695955108038,-0.6847216859785403)
(5.633007255128644,21.392638690844095)
(-11.424209103331208,-1.0852715444984606)
(-2.0092589437674615,-4.379437780389293)
(10.231201170259684,-2.9090802927056068)
(-12.319401423971364,8.903790269374424)
(19.14736844681931,-30.622110673609033)
(-4.808835167767819,19.14525447984021)
(-64.70609863661657,-0.093329242206045)
(10.709158499350835,0.0)
(-54.33089730728693,-24.454173634988223)
(-1.13894382140519,-11.522459243338476)
(-38.560644833609125,-41.968197711855574)
(2.2430284761718715,4.317505640522295)
(-3.7900813483162628,-58.62760286204836)
(-3.710815351206519,-26.996675786508817)
(18.743348404035824,2.0107027365197903)
(-13.961809661012799,-25.769265018194567)
(20.492843782125746,10.753651588818544)
